region,n,pearson_r,pearson_p,partial_r_ctrl_sex,partial_p,pearson_p_fdr,partial_p_fdr
Frontal Pole,22,-0.4670090057698279,0.028433641135915858,-0.4804541130162216,0.023619711309664993,0.15638502624753722,0.12990841220315746
"Cingulate Gyrus, anterior",22,-0.1196110063323843,0.5959822854019903,-0.14448962787073677,0.5211738524063542,0.7756194605930674,0.8189874823528422
Left Thalamus,22,0.027515632257050296,0.9032563706023568,-0.031032795472403243,0.8909574751777772,0.9032563706023568,0.8909574751777772
Insular Cortex,22,0.08026902392088128,0.7225206094166763,0.047200578247010044,0.8347737338109845,0.7947726703583439,0.8909574751777772
"Cingulate Gyrus, posterior",22,0.12714681191537602,0.5728516367152561,0.07198809753951715,0.7502135121611404,0.7756194605930674,0.8909574751777772
Temporal Pole,22,0.10729669872535258,0.634597740485237,0.09394966959213205,0.6775105869592157,0.7756194605930674,0.8909574751777772
Left Amygdala,22,0.2014653779414276,0.3686176965260339,0.17072750261016298,0.44746797234234215,0.6757991102977288,0.8189874823528422
Right Thalamus,22,0.24270769905229875,0.2764514831089226,0.17347445954781723,0.44008279777243103,0.6081932628396297,0.8189874823528422
Left Hippocampus,22,0.29043594128359557,0.18978150676838157,0.31638617419714,0.15142475166830102,0.5218991436130493,0.4164180670878278
Right Hippocampus,22,0.36353254565421744,0.09630242139965006,0.3515813036801843,0.10860079666643406,0.3531088784653836,0.39820292111025823
Right Amygdala,22,0.5500283624877128,0.007999891474192899,0.5159098226311628,0.013980601703181056,0.08799880621612188,0.12990841220315746
